"id","dob","sex"
"835","19760808","M"
"836","19760802","M"
"837","19760823","M"
"838","19760822","M"
"839","19760820","W"
"840","19760822","W"
"841","19760828","M"
"842","19760828","M"
"843","19760829","W"
"844","19760901","M"
"845","19760902","W"
"846","19760902","W"
"847","19760915","W"
"848","19760922","M"
"849","19760924","M"
"850","19760924","M"
"851","19760928","M"
"852","19761001","M"
"853","19760928","W"
"854","19760928","M"
"855","19761001","W"
"856","19761001","W"
"857","19760926","M"
"858","19761003","W"
"859","19760930","M"
"860","19761003","W"
"861","19761011","M"
"862","19761011","M"
"863","19761019","W"
"864","19761015","M"
"865","19761023","M"
"866","19761019","M"
"867","19761026","W"
"868","19761024","M"
"869","19761027","M"
"870","19761105","M"
"871","19761109","M"
"872","19761107","W"
"873","19761111","W"
"874","19761107","W"
"875","19761112","M"
"876","19761119","M"
"877","19761116","M"
"878","19761127","M"
"879","19761123","M"
"880","19761122","M"
"881","19761128","W"
"882","19761203","M"
"883","19761129","M"
"884","19761203","W"
"885","19761209","W"
"886","19761224","M"
"887","19761225","M"
"888","19761222","M"
"889","19761231","M"
"890","19770107","M"
"891","19770102","W"
"892","19761230","M"
"893","19770104","W"
"894","19770109","W"
"895","19770109","M"
"896","19770106","M"
"897","19770108","W"
"898","19770115","W"
"899","19770117","W"
"900","19770126","W"
"901","19770116","W"
"902","19770125","M"
"903","19770202","M"
"904","19770208","M"
"905","19770209","W"
"906","19770215","W"
"907","19770219","W"
"908","19770213","M"
"909","19770218","W"
"910","19770217","M"
"911","19770306","M"
"912","19770227","M"
"913","19770307","M"
"914","19770227","W"
"915","19770309","W"
"916","19770314","W"
"917","19770309","W"
"918","19770315","M"
"919","19770323","M"
"920","19770319","M"
"921","19770401","M"
"922","19770405","M"
"923","19770412","M"
"924","19770423","W"
"925","19770423","W"
"926","19770427","M"
"927","19770504","W"
"928","19770508","M"
"929","19770504","M"
"930","19770511","M"
"931","19770506","W"
"932","19770501","W"
"933","19770518","W"
"934","19770521","M"
"935","19770521","W"
"936","19770515","M"
"937","19770529","W"
"938","19770525","M"
"939","19770604","W"
"940","19770606","W"
"941","19770606","W"
"942","19770607","W"
"943","19770605","M"
"944","19770606","W"
"945","19770610","W"
"946","19770617","M"
"947","19770617","M"
"948","19770619","W"
"949","19770702","W"
"950","19770713","M"
"951","19770702","M"
"952","19770707","W"
"953","19770710","W"
"954","19770715","W"
"955","19770720","M"
"956","19770725","M"
"957","19770726","W"
"958","19770731","M"
"959","19770722","M"
"960","19770730","M"
"961","19770801","M"
"962","19770803","M"
"963","19770822","W"
"964","19770824","M"
"965","19770821","W"
"966","19770824","M"
"967","19770906","M"
"968","19770827","W"
"969","19770912","M"
"970","19770915","W"
"971","19770910","M"
"972","19770909","M"
"973","19770917","M"
"974","19770914","M"
"975","19770912","M"
"976","19770917","M"
"977","19770924","W"
"978","19771002","W"
"979","19771002","M"
"980","19771001","M"
"981","19771003","M"
"982","19770927","M"
"983","19771004","M"
"984","19771009","M"
"985","19771005","M"
"986","19771011","M"
"987","19771011","W"
"988","19771022","W"
"989","19771028","M"
"990","19771021","W"
"991","19771029","M"
"992","19771030","M"
"993","19771025","M"
"994","19771103","W"
"995","19771031","M"
"996","19771105","M"
"997","19771027","W"
"998","19771031","W"
"999","19771110","M"
"1000","19771106","M"
"1001","19771110","M"
"1002","19771115","W"
"1003","19771115","W"
"1004","19771122","M"
"1005","19771116","M"
"1006","19771121","M"
"1007","19771125","M"
"1008","19771124","M"
"1009","19771124","W"
"1010","19771124","W"
"1011","19771207","W"
"1012","19771129","M"
"1013","19771211","M"
"1014","19771208","M"
"1015","19771213","M"
"1016","19771217","M"
"1017","19771217","M"
"1018","19771209","W"
"1019","19771225","M"
"1020","19771217","M"
"1021","19780109","M"
"1022","19780110","W"
"1023","19780102","M"
"1024","19780110","M"
"1025","19780116","M"
"1026","19780118","M"
"1027","19780113","W"
"1028","19780121","M"
"1029","19780117","M"
"1030","19780126","W"
"1031","19780203","W"
"1032","19780204","W"
"1033","19780216","W"
"1034","19780224","M"
"1035","19780217","W"
"1036","19780218","M"
"1037","19780228","M"
"1038","19780303","W"
"1039","19780301","M"
"1040","19780306","W"
"1041","19780301","W"
"1042","19780303","W"
"1043","19780301","M"
"1044","19780304","M"
"1045","19780317","M"
"1046","19780320","M"
"1047","19780317","M"
"1048","19780321","W"
"1049","19780323","M"
"1050","19780403","W"
"1051","19780328","M"
"1052","19780408","W"
"1053","19780404","M"
"1054","19780407","M"
"1055","19780412","M"
"1056","19780413","M"
"1057","19780409","W"
"1058","19780422","M"
"1059","19780424","M"
"1060","19780414","M"
"1061","19780421","M"
"1062","19780419","M"
"1063","19780502","M"
"1064","19780429","M"
"1065","19780506","M"
"1066","19780512","W"
"1067","19780502","M"
"1068","19780511","W"
"1069","19780514","M"
"1070","19780511","W"
"1071","19780521","M"
"1072","19780520","M"
"1073","19780527","W"
"1074","19780527","W"
"1075","19780609","W"
"1076","19780607","M"
"1077","19780610","W"
"1078","19780609","M"
"1079","19780611","W"
"1080","19780614","M"
"1081","19780614","W"
"1082","19780622","W"
"1083","19780621","W"
"1084","19780626","W"
"1085","19780620","M"
"1086","19780626","W"
"1087","19780620","M"
"1088","19780623","W"
"1089","19780621","M"
"1090","19780629","W"
"1091","19780704","M"
"1092","19780701","M"
"1093","19780711","M"
"1094","19780713","M"
"1095","19780712","W"
